entity_id,icon
0de1b543-46fd-4c3f-81c8-31d0cab9ef63,🌍
10b5b89e-02a6-4456-9ddd-69e06c2bded4,🌼
2ca8f848-b8e2-4ba5-aa6e-e0fb37e85d0b,🛶
3407ebac-c575-4c31-b794-1d271014d303,🪽
392ca2e8-afe0-4103-b296-c45bd373d036,🐭
4ed6a812-df04-4aa8-acb9-c6b164dbb706,👽
70c16669-c9ba-4f83-bd25-3cd9ea5a0b0c,🧜‍♀️
83f11a48-0d22-4429-8e59-43fd611d6795,🐻
a0a63e1c-3fc6-4433-b9b1-f5e798ab1f00,🐿️
a88464b5-2cf5-4ef1-b38f-96e07b233bf2,🍯
abb5d6ec-469e-4ab0-8685-5f04e9749653,🦖
c15da0f5-9668-48ee-b93a-8b737b6acf5b,🛳️
dcad67fe-76bb-4df2-bf5b-aaf70e8efc12,🪔
e0887415-3da2-458c-8b88-0691e6b8ab63,⛵
e76670f0-9f5f-4918-8491-9bf51e73a596,🌹
