category,icon,name
基本・マーク,⭐,星
基本・マーク,🌟,輝く星
基本・マーク,✨,きらきら
基本・マーク,💫,流れ星
基本・マーク,❤️,赤いハート
基本・マーク,🩷,ピンクのハート
基本・マーク,🧡,オレンジのハート
基本・マーク,💛,黄色のハート
基本・マーク,💚,緑のハート
基本・マーク,💙,青いハート
基本・マーク,💜,紫のハート
基本・マーク,🤎,茶色のハート
基本・マーク,🖤,黒いハート
基本・マーク,🤍,白いハート
基本・マーク,💖,きらきらハート
基本・マーク,💝,リボン付きハート
基本・マーク,💡,ひらめき
基本・マーク,📌,ピン
基本・マーク,📍,場所
基本・マーク,🔖,しおり
基本・マーク,✅,チェック
基本・マーク,⭕,丸
基本・マーク,🔴,赤丸
基本・マーク,🟠,オレンジ丸
基本・マーク,🟡,黄丸
基本・マーク,🟢,緑丸
基本・マーク,🔵,青丸
基本・マーク,🟣,紫丸
基本・マーク,⚪,白丸
基本・マーク,⚫,黒丸
遊園地・ライド,🎢,ジェットコースター
遊園地・ライド,🎠,メリーゴーラウンド
遊園地・ライド,🎡,観覧車
遊園地・ライド,🎪,サーカス
遊園地・ライド,🎟️,入場券
遊園地・ライド,🎫,チケット
遊園地・ライド,🛝,すべり台
遊園地・ライド,🛗,エレベーター
遊園地・ライド,🚪,入口
遊園地・ライド,🚧,工事・休止
遊園地・ライド,🛎️,案内ベル
遊園地・ライド,🎈,風船
遊園地・ライド,🎉,お祝い
遊園地・ライド,🎊,くす玉
遊園地・ライド,🪅,ピニャータ
遊園地・ライド,🪁,たこ
車・道路,🚗,乗用車
車・道路,🚙,SUV
車・道路,🏎️,レーシングカー
車・道路,🚕,タクシー
車・道路,🛻,ピックアップトラック
車・道路,🚐,ワゴン車
車・道路,🚚,トラック
車・道路,🚛,大型トラック
車・道路,🚜,トラクター
車・道路,🚌,バス
車・道路,🚍,正面向きバス
車・道路,🚎,トロリーバス
車・道路,🚑,救急車
車・道路,🚒,消防車
車・道路,🚓,パトカー
車・道路,🚔,正面向きパトカー
車・道路,🏍️,オートバイ
車・道路,🛵,スクーター
車・道路,🚲,自転車
車・道路,🛴,キックボード
車・道路,🛹,スケートボード
車・道路,🛼,ローラースケート
車・道路,🛞,タイヤ
車・道路,⛽,ガソリン
車・道路,🚦,信号
車・道路,🚥,横向き信号
車・道路,🛣️,道路
車・道路,🅿️,駐車場
電車・交通,🚂,蒸気機関車
電車・交通,🚆,列車
電車・交通,🚄,新幹線
電車・交通,🚅,高速列車
電車・交通,🚈,ライトレール
電車・交通,🚇,地下鉄
電車・交通,🚊,路面電車
電車・交通,🚋,トラム
電車・交通,🚉,駅
電車・交通,🚝,モノレール
電車・交通,🚞,登山鉄道
電車・交通,🚟,ロープウェイ
電車・交通,🚠,ケーブルカー
電車・交通,🚡,空中ロープウェイ
電車・交通,🛤️,線路
船・水上,🚢,大型船
船・水上,🛳️,客船
船・水上,⛴️,フェリー
船・水上,🚤,スピードボート
船・水上,🛥️,モーターボート
船・水上,⛵,ヨット
船・水上,🛶,カヌー
船・水上,🚣,手こぎボート
船・水上,⚓,いかり
船・水上,🛟,浮き輪
船・水上,🌊,波
船・水上,🏝️,島
船・水上,🏖️,ビーチ
船・水上,🗺️,航海地図
船・水上,🧭,コンパス
空・宇宙,✈️,飛行機
空・宇宙,🛫,離陸
空・宇宙,🛬,着陸
空・宇宙,🛩️,小型飛行機
空・宇宙,🚁,ヘリコプター
空・宇宙,🚀,ロケット
空・宇宙,🛸,UFO
空・宇宙,🛰️,人工衛星
空・宇宙,🌌,天の川
空・宇宙,🌠,流星
空・宇宙,☄️,すい星
空・宇宙,🪐,惑星
空・宇宙,🌙,月
空・宇宙,🌕,満月
空・宇宙,🌑,新月
空・宇宙,☀️,太陽
空・宇宙,🪽,翼
空・宇宙,🪂,パラシュート
空・宇宙,👽,宇宙人
空・宇宙,🔭,望遠鏡
魔法・ファンタジー,🪄,魔法の杖
魔法・ファンタジー,🔮,水晶玉
魔法・ファンタジー,🧙,魔法使い
魔法・ファンタジー,🧙‍♀️,女性の魔法使い
魔法・ファンタジー,🧙‍♂️,男性の魔法使い
魔法・ファンタジー,🧚,妖精
魔法・ファンタジー,🧚‍♀️,女性の妖精
魔法・ファンタジー,🧚‍♂️,男性の妖精
魔法・ファンタジー,🧜‍♀️,人魚
魔法・ファンタジー,🧜‍♂️,マーマン
魔法・ファンタジー,🧞,ランプの魔人
魔法・ファンタジー,🧞‍♀️,女性の魔人
魔法・ファンタジー,🧞‍♂️,男性の魔人
魔法・ファンタジー,🦄,ユニコーン
魔法・ファンタジー,🐉,ドラゴン
魔法・ファンタジー,🐲,龍
魔法・ファンタジー,👑,王冠
魔法・ファンタジー,🏰,お城
魔法・ファンタジー,💎,宝石
魔法・ファンタジー,🗝️,古い鍵
魔法・ファンタジー,🪞,鏡
魔法・ファンタジー,🕯️,ろうそく
魔法・ファンタジー,📖,物語の本
魔法・ファンタジー,📜,巻物
魔法・ファンタジー,🪶,羽根
魔法・ファンタジー,🌹,バラ
魔法・ファンタジー,🎀,リボン
魔法・ファンタジー,🧸,ぬいぐるみ
魔法・ファンタジー,🪆,人形
魔法・ファンタジー,🪔,魔法のランプ
魔法・ファンタジー,🏮,ランタン
魔法・ファンタジー,🧿,お守り
魔法・ファンタジー,🌈,虹
冒険・海賊・ホラー,🏴‍☠️,海賊旗
冒険・海賊・ホラー,🤠,カウボーイ
冒険・海賊・ホラー,⚔️,剣
冒険・海賊・ホラー,🗡️,短剣
冒険・海賊・ホラー,🛡️,盾
冒険・海賊・ホラー,🏹,弓矢
冒険・海賊・ホラー,🪓,おの
冒険・海賊・ホラー,⛏️,つるはし
冒険・海賊・ホラー,🔦,懐中電灯
冒険・海賊・ホラー,🎯,的
冒険・海賊・ホラー,🧳,旅行かばん
冒険・海賊・ホラー,🎒,リュック
冒険・海賊・ホラー,🧗,クライミング
冒険・海賊・ホラー,🏕️,キャンプ
冒険・海賊・ホラー,⛺,テント
冒険・海賊・ホラー,🔥,たき火
冒険・海賊・ホラー,👻,おばけ
冒険・海賊・ホラー,💀,どくろ
冒険・海賊・ホラー,☠️,危険などくろ
冒険・海賊・ホラー,🦴,骨
冒険・海賊・ホラー,🕸️,くもの巣
冒険・海賊・ホラー,🕷️,くも
冒険・海賊・ホラー,🦇,こうもり
冒険・海賊・ホラー,🏚️,廃屋
冒険・海賊・ホラー,⚰️,ひつぎ
冒険・海賊・ホラー,🪦,墓石
冒険・海賊・ホラー,🧛,吸血鬼
冒険・海賊・ホラー,🧟,ゾンビ
冒険・海賊・ホラー,👁️,目
冒険・海賊・ホラー,🌀,渦
自然・天気,🌸,桜
自然・天気,🌺,ハイビスカス
自然・天気,🌻,ひまわり
自然・天気,🌼,花
自然・天気,🌷,チューリップ
自然・天気,🪻,紫の花
自然・天気,🌱,芽
自然・天気,🌿,葉
自然・天気,☘️,クローバー
自然・天気,🍀,四つ葉
自然・天気,🌳,大きな木
自然・天気,🌲,針葉樹
自然・天気,🌴,ヤシの木
自然・天気,🌵,サボテン
自然・天気,🍄,きのこ
自然・天気,🪵,丸太
自然・天気,🪨,岩
自然・天気,⛰️,山
自然・天気,🏔️,雪山
自然・天気,🌋,火山
自然・天気,🏜️,砂漠
自然・天気,🏞️,自然公園
自然・天気,🌅,日の出
自然・天気,🌄,山の日の出
自然・天気,🌇,夕景
自然・天気,🌤️,晴れ時々曇り
自然・天気,☁️,雲
自然・天気,🌧️,雨
自然・天気,⛈️,雷雨
自然・天気,🌩️,雷
自然・天気,❄️,雪
自然・天気,☃️,雪だるま
自然・天気,💧,水滴
自然・天気,💦,水しぶき
自然・天気,⚡,稲妻
自然・天気,🌪️,竜巻
自然・天気,🌫️,霧
動物・鳥,🐭,ねずみ
動物・鳥,🐹,ハムスター
動物・鳥,🐰,うさぎ
動物・鳥,🐿️,りす
動物・鳥,🦊,きつね
動物・鳥,🐻,くま
動物・鳥,🐼,パンダ
動物・鳥,🐨,コアラ
動物・鳥,🦁,ライオン
動物・鳥,🐯,とら
動物・鳥,🐮,うし
動物・鳥,🐷,ぶた
動物・鳥,🐸,かえる
動物・鳥,🐵,さる
動物・鳥,🦆,あひる
動物・鳥,🐦,鳥
動物・鳥,🦜,オウム
動物・鳥,🦢,白鳥
動物・鳥,🦉,ふくろう
動物・鳥,🦅,わし
動物・鳥,🐧,ペンギン
動物・鳥,🐘,ぞう
動物・鳥,🦒,きりん
動物・鳥,🦓,しまうま
動物・鳥,🦏,さい
動物・鳥,🦛,かば
動物・鳥,🐢,かめ
動物・鳥,🐊,わに
動物・鳥,🦎,とかげ
動物・鳥,🐍,へび
動物・鳥,🦌,しか
動物・鳥,🐎,うま
動物・鳥,🐴,馬の顔
動物・鳥,🦙,ラマ
動物・鳥,🐫,ふたこぶらくだ
動物・鳥,🐪,ひとこぶらくだ
動物・鳥,🐝,はち
動物・鳥,🦋,ちょう
動物・鳥,🐞,てんとう虫
動物・鳥,🪲,甲虫
動物・鳥,🦗,こおろぎ
動物・鳥,🦖,恐竜
動物・鳥,🦕,首長竜
動物・鳥,🐺,おおかみ
動物・鳥,🐗,いのしし
海の生き物,🐟,魚
海の生き物,🐠,熱帯魚
海の生き物,🐡,ふぐ
海の生き物,🦈,さめ
海の生き物,🐬,いるか
海の生き物,🐳,潮を吹くくじら
海の生き物,🐋,くじら
海の生き物,🐙,たこ
海の生き物,🦑,いか
海の生き物,🦀,かに
海の生き物,🦞,ロブスター
海の生き物,🦐,えび
海の生き物,🪼,くらげ
海の生き物,🐚,貝
海の生き物,🦭,あざらし
海の生き物,🦦,かわうそ
海の生き物,🪸,さんご
海の生き物,🦪,かき
建物・場所,🏨,ホテル
建物・場所,🏠,家
建物・場所,🏡,庭付きの家
建物・場所,🏢,ビル
建物・場所,🏭,工場
建物・場所,🏯,日本のお城
建物・場所,🏛️,歴史的建物
建物・場所,🏟️,スタジアム
建物・場所,⛪,教会
建物・場所,🕌,モスク
建物・場所,🛕,寺院
建物・場所,🕍,シナゴーグ
建物・場所,⛩️,鳥居
建物・場所,🗼,タワー
建物・場所,🗽,自由の女神
建物・場所,⛲,噴水
建物・場所,🌉,夜の橋
建物・場所,🌁,霧の橋
建物・場所,🏘️,街並み
建物・場所,🏙️,都市
建物・場所,🌆,夕暮れの街
建物・場所,🏪,コンビニ
建物・場所,🏬,百貨店
建物・場所,🏫,学校
建物・場所,🏥,病院
ショー・音楽・アート,🎭,劇場
ショー・音楽・アート,🎬,映画
ショー・音楽・アート,🎥,映画カメラ
ショー・音楽・アート,📽️,映写機
ショー・音楽・アート,🎞️,フィルム
ショー・音楽・アート,🎤,マイク
ショー・音楽・アート,🎧,ヘッドホン
ショー・音楽・アート,🎼,楽譜
ショー・音楽・アート,🎹,ピアノ
ショー・音楽・アート,🥁,ドラム
ショー・音楽・アート,🎷,サックス
ショー・音楽・アート,🎺,トランペット
ショー・音楽・アート,🎸,ギター
ショー・音楽・アート,🪕,バンジョー
ショー・音楽・アート,🎻,バイオリン
ショー・音楽・アート,🪗,アコーディオン
ショー・音楽・アート,🎨,パレット
ショー・音楽・アート,🖌️,絵筆
ショー・音楽・アート,🖍️,クレヨン
ショー・音楽・アート,🕺,ダンス
ショー・音楽・アート,💃,ダンサー
ショー・音楽・アート,🪩,ミラーボール
ショー・音楽・アート,🎆,花火
ショー・音楽・アート,🎇,線香花火
ショー・音楽・アート,🎵,音符
ショー・音楽・アート,🎶,複数の音符
ショー・音楽・アート,🎩,シルクハット
ショー・音楽・アート,🤡,ピエロ
ゲーム・スポーツ,🎮,ゲーム機
ゲーム・スポーツ,🕹️,アーケードゲーム
ゲーム・スポーツ,🎲,さいころ
ゲーム・スポーツ,♟️,チェス
ゲーム・スポーツ,🧩,パズル
ゲーム・スポーツ,🃏,ジョーカー
ゲーム・スポーツ,🎴,花札
ゲーム・スポーツ,🎳,ボウリング
ゲーム・スポーツ,🏆,トロフィー
ゲーム・スポーツ,🥇,金メダル
ゲーム・スポーツ,⚽,サッカー
ゲーム・スポーツ,🏀,バスケットボール
ゲーム・スポーツ,🏈,アメフト
ゲーム・スポーツ,⚾,野球
ゲーム・スポーツ,🎾,テニス
ゲーム・スポーツ,🏐,バレーボール
ゲーム・スポーツ,🏓,卓球
ゲーム・スポーツ,🏸,バドミントン
ゲーム・スポーツ,🥏,フリスビー
ゲーム・スポーツ,⛳,ゴルフ
ゲーム・スポーツ,🎣,釣り
ゲーム・スポーツ,🥊,ボクシング
ゲーム・スポーツ,🥋,武道
ゲーム・スポーツ,🛷,そり
ゲーム・スポーツ,⛸️,スケート
食べ物・飲み物,🍎,赤りんご
食べ物・飲み物,🍏,青りんご
食べ物・飲み物,🍓,いちご
食べ物・飲み物,🍒,さくらんぼ
食べ物・飲み物,🍊,みかん
食べ物・飲み物,🍋,レモン
食べ物・飲み物,🍌,バナナ
食べ物・飲み物,🍉,すいか
食べ物・飲み物,🍇,ぶどう
食べ物・飲み物,🍍,パイナップル
食べ物・飲み物,🥭,マンゴー
食べ物・飲み物,🍑,もも
食べ物・飲み物,🍐,なし
食べ物・飲み物,🥝,キウイ
食べ物・飲み物,🥕,にんじん
食べ物・飲み物,🌽,とうもろこし
食べ物・飲み物,🍞,パン
食べ物・飲み物,🥐,クロワッサン
食べ物・飲み物,🥨,プレッツェル
食べ物・飲み物,🥞,パンケーキ
食べ物・飲み物,🧇,ワッフル
食べ物・飲み物,🧀,チーズ
食べ物・飲み物,🍛,カレー
食べ物・飲み物,🍗,チキン
食べ物・飲み物,🍔,ハンバーガー
食べ物・飲み物,🍟,フライドポテト
食べ物・飲み物,🍕,ピザ
食べ物・飲み物,🌭,ホットドッグ
食べ物・飲み物,🥪,サンドイッチ
食べ物・飲み物,🌮,タコス
食べ物・飲み物,🍿,ポップコーン
食べ物・飲み物,🍩,ドーナツ
食べ物・飲み物,🍪,クッキー
食べ物・飲み物,🎂,ケーキ
食べ物・飲み物,🧁,カップケーキ
食べ物・飲み物,🍰,ショートケーキ
食べ物・飲み物,🍫,チョコレート
食べ物・飲み物,🍬,キャンディ
食べ物・飲み物,🍭,ペロペロキャンディ
食べ物・飲み物,🍯,はちみつ
食べ物・飲み物,🍦,ソフトクリーム
食べ物・飲み物,🍧,かき氷
食べ物・飲み物,🍨,アイス
食べ物・飲み物,☕,コーヒー
食べ物・飲み物,🫖,ティーポット
食べ物・飲み物,🥤,ドリンク
食べ物・飲み物,🧃,ジュース
食べ物・飲み物,🥛,ミルク
道具・シンボル,🔑,鍵
道具・シンボル,🔔,ベル
道具・シンボル,⌛,砂時計
道具・シンボル,⏰,時計
道具・シンボル,📷,カメラ
道具・シンボル,📸,フラッシュカメラ
道具・シンボル,🔍,虫眼鏡
道具・シンボル,🧪,試験管
道具・シンボル,⚙️,歯車
道具・シンボル,🧲,磁石
道具・シンボル,🧰,工具箱
道具・シンボル,🧱,レンガ
道具・シンボル,🪜,はしご
道具・シンボル,🧯,消火器
道具・シンボル,📚,本
道具・シンボル,📰,新聞
道具・シンボル,🗞️,丸めた新聞
道具・シンボル,✉️,手紙
道具・シンボル,📦,箱
道具・シンボル,🎁,プレゼント
道具・シンボル,🪙,コイン
道具・シンボル,💰,お金
道具・シンボル,💍,指輪
道具・シンボル,🧵,糸
道具・シンボル,🪡,針
道具・シンボル,✂️,はさみ
道具・シンボル,🔨,ハンマー
道具・シンボル,🪚,のこぎり
道具・シンボル,🧺,かご
道具・シンボル,🪣,バケツ
道具・シンボル,🧹,ほうき
道具・シンボル,🧴,ボトル
その他,🌍,アトラクション用
その他,🤖,アトラクション用
